RecordDate,Month,Total daily production
8-Jul-23,Hamle 1,50.22
9-Jul-23,Hamle 2,42.65
10-Jul-23,Hamle 3,50.96
11-Jul-23,Hamle 4,40.88
12-Jul-23,Hamle 5,49.69
13-Jul-23,Hamle 6,48.80
14-Jul-23,Hamle 7,49.01
15-Jul-23,Hamle 8,50.79
16-Jul-23,Hamle 9,43.96
17-Jul-23,Hamle 10,50.19
18-Jul-23,Hamle 11,50.34
19-Jul-23,Hamle 12,49.10
20-Jul-23,Hamle 13,50.01
21-Jul-23,Hamle 14,48.34
22-Jul-23,Hamle 15,48.13
23-Jul-23,Hamle 16,43.54
24-Jul-23,Hamle 17,48.32
25-Jul-23,Hamle 18,51.80
26-Jul-23,Hamle 19,49.52
27-Jul-23,Hamle 20,51.74
28-Jul-23,Hamle 21,49.91
29-Jul-23,Hamle 22,49.60
30-Jul-23,Hamle 23,44.60
31-Jul-23,Hamle 24,47.64
1-Aug-23,Hamle 25,53.28
2-Aug-23,Hamle 26,53.65
3-Aug-23,Hamle 27,51.37
4-Aug-23,Hamle 28,53.30
5-Aug-23,Hamle 29,52.52
6-Aug-23,Hamle 30,43.29
7-Aug-23,Nehase 1,49.19
8-Aug-23,Nehase 2,50.42
9-Aug-23,Nehase 3,51.46
10-Aug-23,Nehase 4,51.44
11-Aug-23,Nehase 5,52.60
12-Aug-23,Nehase 6,50.43
13-Aug-23,Nehase 7,43.38
14-Aug-23,Nehase 8,51.03
15-Aug-23,Nehase 9,51.48
16-Aug-23,Nehase 10,51.73
17-Aug-23,Nehase 11,50.97
18-Aug-23,Nehase 12,50.47
19-Aug-23,Nehase 13,49.78
20-Aug-23,Nehase 14,42.54
21-Aug-23,Nehase 15,50.54
22-Aug-23,Nehase 16,49.92
23-Aug-23,Nehase 17,50.23
24-Aug-23,Nehase 18,50.76
25-Aug-23,Nehase 19,48.85
26-Aug-23,Nehase 20,49.50
27-Aug-23,Nehase 21,44.23
28-Aug-23,Nehase 22,45.02
29-Aug-23,Nehase 23,49.92
30-Aug-23,Nehase 24,52.07
31-Aug-23,Nehase 25,52.21
1-Sep-23,Nehase 26,52.02
2-Sep-23,Nehase 27,51.13
3-Sep-23,Nehase 28,44.15
4-Sep-23,Nehase 29,49.12
5-Sep-23,Nehase 30,52.46
6-Sep-23,Pegume 1,52.13
7-Sep-23,Pegume 2,50.32
8-Sep-23,Pegume 3,50.39
9-Sep-23,Pegume 4,50.70
10-Sep-23,Pegume 5,44.85
11-Sep-23,Pegume 6,54.89
12-Sep-23,Meskerem 1,40.09
13-Sep-23,Meskerem 2,44.45
14-Sep-23,Meskerem 3,51.09
15-Sep-23,Meskerem 4,53.31
16-Sep-23,Meskerem 5,52.26
17-Sep-23,Meskerem 6,44.92
18-Sep-23,Meskerem 7,50.97
19-Sep-23,Meskerem 8,53.24
20-Sep-23,Meskerem 9,54.21
21-Sep-23,Meskerem 10,53.18
22-Sep-23,Meskerem 11,54.69
23-Sep-23,Meskerem 12,53.90
24-Sep-23,Meskerem 13,45.79
25-Sep-23,Meskerem 14,49.96
26-Sep-23,Meskerem 15,52.88
27-Sep-23,Meskerem 16,49.27
28-Sep-23,Meskerem 17,42.29
29-Sep-23,Meskerem 18,47.78
30-Sep-23,Meskerem 19,49.27
1-Oct-23,Meskerem 20,44.98
2-Oct-23,Meskerem 21,48.66
3-Oct-23,Meskerem 22,52.46
4-Oct-23,Meskerem 23,51.03
5-Oct-23,Meskerem 24,51.64
6-Oct-23,Meskerem 25,51.57
7-Oct-23,Meskerem 26,48.06
8-Oct-23,Meskerem 27,43.30
9-Oct-23,Meskerem 28,51.91
10-Oct-23,Meskerem 29,50.77
11-Oct-23,Meskerem 30,52.91
12-Oct-23,Tikimit 1,53.22
13-Oct-23,Tikimit 2,50.55
14-Oct-23,Tikimit 3,51.71
15-Oct-23,Tikimit 4,44.97
16-Oct-23,Tikimit 5,49.28
17-Oct-23,Tikimit 6,52.79
18-Oct-23,Tikimit 7,52.17
19-Oct-23,Tikimit 8,54.29
20-Oct-23,Tikimit 9,53.31
21-Oct-23,Tikimit 10,54.11
22-Oct-23,Tikimit 11,46.50
23-Oct-23,Tikimit 12,51.24
24-Oct-23,Tikimit 13,54.79
25-Oct-23,Tikimit 14,53.24
26-Oct-23,Tikimit 15,52.76
27-Oct-23,Tikimit 16,52.30
28-Oct-23,Tikimit 17,51.27
29-Oct-23,Tikimit 18,46.86
30-Oct-23,Tikimit 19,51.04
31-Oct-23,Tikimit 20,53.31
1-Nov-23,Tikimit 21,51.71
2-Nov-23,Tikimit 22,54.11
3-Nov-23,Tikimit 23,53.75
4-Nov-23,Tikimit 24,54.34
5-Nov-23,Tikimit 25,46.73
6-Nov-23,Tikimit 26,53.56
7-Nov-23,Tikimit 27,53.00
8-Nov-23,Tikimit 28,54.67
9-Nov-23,Tikimit 29,51.88
10-Nov-23,Tikimit 30,52.93
11-Nov-23,Hidar 1,50.86
12-Nov-23,Hidar 2,44.91
13-Nov-23,Hidar 3,50.71
14-Nov-23,Hidar 4,53.97
15-Nov-23,Hidar 5,53.14
16-Nov-23,Hidar 6,53.07
17-Nov-23,Hidar 7,53.71
18-Nov-23,Hidar 8,50.76
19-Nov-23,Hidar 9,46.35
20-Nov-23,Hidar 10,54.31
21-Nov-23,Hidar 11,56.00
22-Nov-23,Hidar 12,52.08
23-Nov-23,Hidar 13,53.62
24-Nov-23,Hidar 14,55.24
25-Nov-23,Hidar 15,55.64
26-Nov-23,Hidar 16,48.34
27-Nov-23,Hidar 17,53.65
28-Nov-23,Hidar 18,56.23
29-Nov-23,Hidar 19,53.35
30-Nov-23,Hidar 20,55.18
1-Dec-23,Hidar 21,54.93
2-Dec-23,Hidar 22,56.61
3-Dec-23,Hidar 23,51.39
4-Dec-23,Hidar 24,56.69
5-Dec-23,Hidar 25,57.61
6-Dec-23,Hidar 26,57.51
7-Dec-23,Hidar 27,56.23
8-Dec-23,Hidar 28,57.47
9-Dec-23,Hidar 29,56.67
10-Dec-23,Hidar 30,49.99
11-Dec-23,Tahisas 1,55.63
12-Dec-23,Tahisas 2,58.77
13-Dec-23,Tahisas 3,58.09
14-Dec-23,Tahisas 4,59.09
15-Dec-23,Tahisas 5,56.32
16-Dec-23,Tahisas 6,58.24
17-Dec-23,Tahisas 7,51.78
18-Dec-23,Tahisas 8,57.98
19-Dec-23,Tahisas 9,59.14
20-Dec-23,Tahisas 10,59.53
21-Dec-23,Tahisas 11,59.61
22-Dec-23,Tahisas 12,57.32
23-Dec-23,Tahisas 13,58.47
24-Dec-23,Tahisas 14,53.11
25-Dec-23,Tahisas 15,59.00
26-Dec-23,Tahisas 16,57.99
27-Dec-23,Tahisas 17,59.87
28-Dec-23,Tahisas 18,61.15
29-Dec-23,Tahisas 19,55.22
30-Dec-23,Tahisas 20,56.89
31-Dec-23,Tahisas 21,51.93
1-Jan-24,Tahisas 22,57.78
2-Jan-24,Tahisas 23,58.14
3-Jan-24,Tahisas 24,59.29
4-Jan-24,Tahisas 25,60.58
5-Jan-24,Tahisas 26,58.19
6-Jan-24,Tahisas 27,60.35
